Neighborhood,Latitude,Longitude
Zavodski raion,53.84571045,27.706465787897024
Leninski raion,53.86498055,27.58999050820409
Maskouski raion,53.871097649999996,27.489136535297447
Kastrychnitski raion,53.8639979,27.536764385698298
Partyzanski raion,53.89692435,27.661525723910653
Pershamayski raion,53.933079,27.666131980410313
Savetski raion,53.93820865,27.585445986229338
Frunzenski raion,53.90175,27.46289838393386
Tsentralny raion,53.934580049999994,27.506746709762552
Minsk,53.902334,27.5618791
